create_time,symbol,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2026-01-01 00:00:00,BTCUSDT,94262.0300000000000000,8264112415.5510000000000000,3.06705305,2.47925900,2.60911334,0.87411600
2026-01-01 00:05:00,BTCUSDT,94319.5220000000000000,8275476568.5629940000000000,3.06433070,2.48149200,2.60947728,2.37186600
2026-01-01 00:10:00,BTCUSDT,94341.3950000000000000,8274334139.9130290000000000,3.06710643,2.48197000,2.61142342,1.73154700
2026-01-01 00:15:00,BTCUSDT,94363.2960000000000000,8278954338.2304000000000000,3.07108403,2.48128000,2.61500854,1.75705100
2026-01-01 00:20:00,BTCUSDT,94379.5990000000000000,8280582877.4630000000000000,3.07769254,2.48043800,2.62068392,1.65930400
2026-01-01 00:25:00,BTCUSDT,94399.3730000000000000,8283242380.8232110000000000,3.08166815,2.47951000,2.62432516,1.19173500
2026-01-01 00:30:00,BTCUSDT,94398.4110000000000000,8280279338.7993000000000000,3.08485440,2.47968900,2.62734368,0.74511400
2026-01-01 00:35:00,BTCUSDT,94400.7510000000000000,8281032444.9117220000000000,3.08645068,2.47999300,2.62786105,2.05381500
2026-01-01 00:40:00,BTCUSDT,94401.0950000000000000,8280392047.9250000000000000,3.09216570,2.48001400,2.63435861,1.88330800
2026-01-01 00:45:00,BTCUSDT,94403.3550000000000000,8287085234.6490000000000000,3.09391090,2.47931700,2.63858585,5.20064500
2026-01-01 00:50:00,BTCUSDT,94401.9270000000000000,8285855376.8367000000000000,3.09956968,2.47829100,2.64636101,0.72746900
2026-01-01 00:55:00,BTCUSDT,94402.8510000000000000,8286168359.7062430000000000,3.10431593,2.47726200,2.64993060,1.71780500
2026-01-01 01:00:00,BTCUSDT,94418.6390000000000000,8291938948.7334180000000000,3.10429814,2.47713800,2.65127187,2.51926100
2026-01-01 01:05:00,BTCUSDT,94511.4860000000000000,8310300452.4940000000000000,3.10901790,2.47262800,2.66331067,1.79490900
2026-01-01 01:10:00,BTCUSDT,94523.4320000000000000,8314366149.8088000000000000,3.11776045,2.46681100,2.67416733,1.19819400
2026-01-01 01:15:00,BTCUSDT,94555.8920000000000000,8312406059.3406290000000000,3.12143716,2.46320700,2.68123624,1.41624100
2026-01-01 01:20:00,BTCUSDT,94708.5240000000000000,8325228492.4786340000000000,3.11652234,2.46588700,2.67811034,0.18707500
2026-01-01 01:25:00,BTCUSDT,94693.8930000000000000,8318191072.1028090000000000,3.11442530,2.46562600,2.67529173,0.36431100
2026-01-01 01:30:00,BTCUSDT,94698.6490000000000000,8319754203.8337490000000000,3.11326736,2.46550500,2.67475670,1.14489200
2026-01-01 01:35:00,BTCUSDT,94686.8780000000000000,8314329137.8828580000000000,3.13375604,2.46522800,2.68312368,0.79771300
2026-01-01 01:40:00,BTCUSDT,94704.1650000000000000,8320638377.4796930000000000,3.13285055,2.46407200,2.68239512,1.90886600
2026-01-01 01:45:00,BTCUSDT,94704.2810000000000000,8322379608.2135850000000000,3.13862754,2.46485900,2.68632727,0.99926900
2026-01-01 01:50:00,BTCUSDT,94683.0880000000000000,8329645646.1291920000000000,3.13839979,2.46841300,2.68613669,3.87042200
2026-01-01 01:55:00,BTCUSDT,94666.5290000000000000,8322870405.2618670000000000,3.13841905,2.46754200,2.68665940,0.66410200
2026-01-01 02:00:00,BTCUSDT,94644.4880000000000000,8321623468.4392070000000000,3.05771003,2.46970200,2.68780902,0.76111800
2026-01-01 02:05:00,BTCUSDT,94623.9360000000000000,8326603571.4048000000000000,3.05893441,2.46477700,2.68978474,3.49378300
2026-01-01 02:10:00,BTCUSDT,94625.1350000000000000,8323520212.5185000000000000,3.05952830,2.46310800,2.69127061,0.67470300
2026-01-01 02:15:00,BTCUSDT,94547.6330000000000000,8317109451.1642000000000000,3.05576955,2.46474400,2.69203523,1.14335000
2026-01-01 02:20:00,BTCUSDT,94539.1140000000000000,8313230812.2102000000000000,3.05271746,2.46589500,2.68920131,0.75097600
2026-01-01 02:25:00,BTCUSDT,94536.9280000000000000,8312256207.3045420000000000,3.04805683,2.46574600,2.68565202,0.58164300
